timestamp,arbitration_id,extended,remote,error,dlc,data
3.799,0x19f,0,0,0,8,AAAAAHgoAAA=
3.899,0x50f,0,0,0,8,eCgqAHQFYAA=
3.919,0x12d,0,0,0,8,AACIE+AuAQA=
3.999,0x1a7,0,0,0,8,AACcGAgARBY=
4.14,0x12a,0,0,0,8,EAAAAAACAAA=
4.177,0x10b,0,0,0,8,BQ8AAAAAAAA=
4.599,0x310,0,0,0,8,AQACAAAAAAA=
4.699,0x50e,0,0,0,8,AAAAAAAAAAA=
4.729,0x10c,0,0,0,8,AQCAAAAAAAA=
4.787,0x12c,0,0,0,8,AggAAHAXAAA=
4.799,0x19f,0,0,0,8,AAAAAHkoAAA=
4.899,0x50f,0,0,0,8,eCgyAHQFYAA=
4.917,0x12d,0,0,0,8,AACIE+AuAQA=
4.999,0x1a7,0,0,0,8,AACcGAgARBY=
5.14,0x12a,0,0,0,8,EAAAAAACAAA=
5.18,0x10b,0,0,0,8,BQ8AAAAAAAA=
5.599,0x310,0,0,0,8,AQACAAAAAAA=
5.699,0x50e,0,0,0,8,AAAAAAAAAAA=
5.729,0x10c,0,0,0,8,AQCAAAAAAAA=
5.791,0x12c,0,0,0,8,AggAAHAXAAA=
5.799,0x19f,0,0,0,8,AAAAAHgoAAA=
5.899,0x50f,0,0,0,8,eCgqAHYFYAA=
5.918,0x12d,0,0,0,8,AACIE+AuAQA=
5.999,0x1a7,0,0,0,8,AACcGAgARBY=
6.139,0x12a,0,0,0,8,EAAAAAACAAA=
6.176,0x10b,0,0,0,8,BQ8AAAAAAAA=
6.599,0x310,0,0,0,8,AQACAAAAAAA=
6.699,0x50e,0,0,0,8,AAAAAAAAAAA=
6.728,0x10c,0,0,0,8,AQCAAAAAAAA=
6.788,0x12c,0,0,0,8,AggAAHAXAAA=
6.799,0x19f,0,0,0,8,AAAAAHgoAAA=
